médicale	-0.0710396724386	3	2	3	2	10.0056245492	9.93319885504	0.131704165946
suis	-0.480443767689	4	2	4	2	10.0056245492	9.51816135576	0.05
veut	-0.580388784915	14	8	14	8	8.00562454919	7.7108064337	0.0647718639657
plantation	0.264657693227	5	4	5	4	9.00562454919	9.19623326087	0.328071905113
atatürk	0.387588557288	6	5	6	5	8.68369645431	8.93319885504	0.399977578352
progression	-0.480443767689	4	2	4	2	10.0056245492	9.51816135576	0.05
mauvais	0.117156559127	4	3	4	3	9.42066204847	9.51816135576	0.238721875541
supports	-0.760971325625	3	1	3	1	11.0056245492	9.93319885504	0.131704165946
intitulée	0.875693855065	6	6	6	6	8.42066204847	8.93319885504	0.05
upc	-0.0710396724386	3	2	3	2	10.0056245492	9.93319885504	0.131704165946
000	0.357195562732	3	3	1	1	11.0056245492	11.5181613558	0.05
fondée	0.674310903904	10	9	9	8	8.00562454919	8.34823635431	0.546741665224
idéologique	0.714756885942	4	4	4	4	9.00562454919	9.51816135576	0.05
poids	0.104315260929	11	8	11	8	8.00562454919	8.05872973712	0.204649063378
fonctionnement	0.379543718556	14	11	14	11	7.54619293056	7.7108064337	0.300404742741
en_plein	0.117156559127	4	3	4	3	9.42066204847	9.51816135576	0.238721875541
succession	0.618891980748	3	3	3	3	9.42066204847	9.93319885504	0.05
liste	0.165797644609	8	6	8	6	8.42066204847	8.51816135576	0.238721875541
importantes	-0.760427556634	10	5	10	5	8.68369645431	8.19623326087	0.05
absolument	-0.480443767689	4	2	4	2	10.0056245492	9.51816135576	0.05
souhaiterait	-1.18445521324	4	0	2	0	17.649480739	10.5181613558	0.05
ps	-0.480443767689	4	2	4	2	10.0056245492	9.51816135576	0.05
merlin	1.23747781061	25	24	18	17	6.91816170794	7.34823635431	0.74045657085
confiance	-0.0710396724386	3	2	3	2	10.0056245492	9.93319885504	0.131704165946
force	-1.3707113163	38	19	37	19	6.75769703575	6.30870799013	0.050526979814
limites	0.0595662173991	14	10	14	10	7.68369645431	7.7108064337	0.186879431433
disciplines	-0.0306888442507	23	16	23	16	7.00562454919	6.9945993997	0.163459107178
ken	0.714756885942	4	4	4	4	9.00562454919	9.51816135576	0.05
histoire	-1.09536906358	311	206	245	158	3.70184380102	3.58152341675	0.111457744062
chez	1.23882471193	49	42	47	40	5.68369645431	5.96357250408	0.442828345129
muer	-0.760971325625	3	1	3	1	11.0056245492	9.93319885504	0.131704165946
émigrés	0.117156559127	4	3	4	3	9.42066204847	9.51816135576	0.238721875541
chef	-0.10051674049	6	4	6	4	9.00562454919	8.93319885504	0.131704165946
tirer	0.374602480825	10	8	10	8	8.00562454919	8.19623326087	0.328071905113
second	-0.994238890152	26	14	26	14	7.19826962714	6.81772163762	0.0542725479151
examen	0.714756885942	4	4	4	4	9.00562454919	9.51816135576	0.05
paraître	-0.00374086499447	10	7	10	7	8.19826962714	8.19623326087	0.168709100769
andré	0.799258942701	5	5	5	5	8.68369645431	9.19623326087	0.05
oscar	-0.0710396724386	5	2	3	2	10.0056245492	9.93319885504	0.131704165946
originalité	-1.52428550458	12	4	12	4	9.00562454919	7.93319885504	0.131704165946
photovoltaïques	0.714756885942	4	4	4	4	9.00562454919	9.51816135576	0.05
acclimatation	-0.0710396724386	3	2	3	2	10.0056245492	9.93319885504	0.131704165946
communauté	0.314693258349	17	13	17	13	7.30518483105	7.43069851451	0.262873413799
rassemblant	0.618891980748	3	3	3	3	9.42066204847	9.93319885504	0.05
asie	0.104315260929	11	8	11	8	8.00562454919	8.05872973712	0.204649063378
trouvé	0.752945826645	10	9	10	9	7.83569954775	8.19623326087	0.581004406411
risques	-1.07672733605	6	2	6	2	10.0056245492	8.93319885504	0.131704165946
crutzen	0.505236975686	4	4	2	2	10.0056245492	10.5181613558	0.05
harappa	0.875693855065	6	6	6	6	8.42066204847	8.93319885504	0.05
civils	-0.0710396724386	3	2	3	2	10.0056245492	9.93319885504	0.131704165946
reproches	-1.0780440945	4	1	4	1	11.0056245492	9.51816135576	0.238721875541
reprocher	-1.45090297881	3	0	3	0	17.649480739	9.93319885504	0.05
reconstruction	0.264657693227	5	4	5	4	9.00562454919	9.19623326087	0.328071905113
contre-utopie	0.875693855065	6	6	6	6	8.42066204847	8.93319885504	0.05
new	-0.588622038268	6	3	6	3	9.42066204847	8.93319885504	0.05
propre	0.652745025752	26	21	26	21	6.61330712642	6.81772163762	0.343725910812
précarisation	-0.861880556225	10	6	7	3	9.42066204847	8.7108064337	0.0647718639657
olivier	-0.861880556225	7	3	7	3	9.42066204847	8.7108064337	0.0647718639657
philippe	-0.701466344768	13	7	13	7	8.19826962714	7.81772163762	0.0542725479151
salutaire	-1.45090297881	3	0	3	0	17.649480739	9.93319885504	0.05
populaires	0.494044173656	7	6	7	6	8.42066204847	8.7108064337	0.458327221418
notions	0.4651132094	11	9	11	9	7.83569954775	8.05872973712	0.365961564361
reporter	0.946019083616	7	7	7	7	8.19826962714	8.7108064337	0.05
jean-paul	0.387588557288	6	5	6	5	8.68369645431	8.93319885504	0.399977578352
juifs	0.45918536996	15	12	15	12	7.42066204847	7.61127076015	0.328071905113
divertissement	-0.760971325625	3	1	3	1	11.0056245492	9.93319885504	0.131704165946
révélant	-0.0710396724386	3	2	3	2	10.0056245492	9.93319885504	0.131704165946
reçue	0.714756885942	4	4	4	4	9.00562454919	9.51816135576	0.05
évolution	0.704970136889	40	32	39	31	6.05142823881	6.23275913689	0.317933309907
chine	0.991653319857	29	24	28	24	6.42066204847	6.7108064337	0.458327221418
met	0.127352832253	39	28	39	28	6.19826962714	6.23275913689	0.191769207359
protection	0.387588557288	6	5	6	5	8.68369645431	8.93319885504	0.399977578352
mes	-0.269943556246	5	3	5	3	9.42066204847	9.19623326087	0.0790494055453
mer	-0.269943556246	6	3	5	3	9.42066204847	9.19623326087	0.0790494055453
active	-1.45090297881	3	0	3	0	17.649480739	9.93319885504	0.05
commentaires	-0.67991451476	9	5	8	4	9.00562454919	8.51816135576	0.05
remet	0.117156559127	4	3	4	3	9.42066204847	9.51816135576	0.238721875541
érudit	-1.0780440945	4	1	4	1	11.0056245492	9.51816135576	0.238721875541
journalisme	-0.80454480572	5	2	5	2	10.0056245492	9.19623326087	0.0790494055453
interne	0.165797644609	8	6	8	6	8.42066204847	8.51816135576	0.238721875541
même	-1.0499977128	138	89	128	80	4.68369645431	4.51816135576	0.095565997075
associé	0.618891980748	3	3	3	3	9.42066204847	9.93319885504	0.05
urbain	-1.07672733605	6	2	6	2	10.0056245492	8.93319885504	0.131704165946
explicites	-0.480443767689	4	2	4	2	10.0056245492	9.51816135576	0.05
